,precision,recall,f1-score,support
0,0.987012987012987,0.9947643979057592,0.9908735332464146,382.0
1,0.9433962264150944,0.8620689655172413,0.9009009009009009,58.0
2,0.8979591836734694,0.9565217391304348,0.9263157894736842,46.0
3,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
accuracy,0.9720558882235529,0.9720558882235529,0.9720558882235529,0.9720558882235529
macro avg,0.939234956418245,0.9200054423050256,0.9286604869397327,501.0
weighted avg,0.9720371977017715,0.9720558882235529,0.9717060761082656,501.0
